id,text
common_voice_da_31401925,Min fortræffelige lille nattergal!
common_voice_da_31401926,Jeg venter grumme meget af den
common_voice_da_31401927,"Men hendes vilje var fast, som hendes tillid til vorherre"
common_voice_da_31401928,Her er kommet gode klæder at slide for de fire børn!
common_voice_da_31401929,Hver rose på træet i haven havde sin historie.
common_voice_da_31401930,"den skænkede den gode medicin, den der hjalp for maven."
common_voice_da_31401931,Du er en net fyr
common_voice_da_31401932,"vinden gik trangt om, når man skulle have spanden med vand over brøndkanten."
common_voice_da_31401943,"jeg tror allerede, han gør det!"
common_voice_da_31401944,Jeg fik tillid til ham og saa bleve vi venner
common_voice_da_31401945,Nu faae vi at høre!
common_voice_da_31401946,de kom til bal og højtid hos kongen selv.
common_voice_da_31401947,råbte han lige med ét.
common_voice_da_31401953,Husets skytsånd stod ved sengens hovedgærde.
common_voice_da_31401954,Det er ganske vist!
common_voice_da_31401956,Se der har i dem
common_voice_da_31401968,"sig ikke, ak, hvor forandret!"
common_voice_da_31401969,Hun foldede barnets hænder.
common_voice_da_31401970,Der er så dejligt
common_voice_da_31401971,Det begynder af og til at krille mig under vingerne
common_voice_da_31401972,men det lille grantræ var så ilter med at vokse.
common_voice_da_31401978,østerud til verdens ende.
common_voice_da_31401979,hvorfor blev det hende forundt!
common_voice_da_31401980,"Bygmesteren selv var af ringe Kuld, men af adelig Huld."
common_voice_da_31401981,Nu skal jeg endogså belemre konens samvittighed
common_voice_da_31401982,Solen kommer der ikke
common_voice_da_31401988,"jeg blev en krympende orm, med krydderpose og spansk flue."
common_voice_da_31401989,Og brødrene vendte om igen for at se hvad det var.
common_voice_da_31401990,Det er nok blanklæder!
common_voice_da_31401991,Det er nu en del år siden
common_voice_da_31401992,Engang må det jo være forbi!
common_voice_da_31401993,Og hun blev ført til graven.
common_voice_da_31401996,Jeg er saa let
common_voice_da_31401997,"' sagde ildklemmen, og det blev hun."
common_voice_da_31402000,"sagde træet, nu holder mig ingen bånd!"
common_voice_da_31402002,Hvor har du bedrevet mig
common_voice_da_31402008,Det råbte en lille dreng og klappede i hænderne
common_voice_da_31402009,"Men det er ikke min mening, thi det er aldeles galt, aldeles falsk."
common_voice_da_31402010,"Hvad for noget sagde store claus, har jeg ikke slået ham ihjel"
common_voice_da_31402011,Jeg vil høre nattergalen!
common_voice_da_31402012,Hvad gør du ved barnetbarnet er mit
common_voice_da_31402073,En barber blev hentet til åreladning.
common_voice_da_31402075,"Om hjertet dit,vil jeg synge tit,flyvende vidt, vidt, vidt"
common_voice_da_31402076,De må ikke tale til mig
common_voice_da_31402093,"de vilde Urter lugtede saa krydrede, jeg nøs, jeg tænkte paa Pølse."
common_voice_da_31402094,"Hvem er den døde? spurgte vi, og svaret var."
common_voice_da_31402095,"Hun talte om sin ungdoms ven, om forlovelsen i skoven"
common_voice_da_31402096,"Johanne var alene og tog imod ham, det kunne ikke være heldigere."
common_voice_da_31402098,Han laae udstrakt død med sin gamle nathue trykket mellem hænderne
common_voice_da_31402140,Jeg gad vidst hvor langt den strækker sig og hvad der er udenfor
common_voice_da_31402141,"Jeg blev så ræd, jeg blev så levende, som ikke i mange tider!"
common_voice_da_31402142,Hvor hun er styg
common_voice_da_31402143,Han forstod inderligt godt kammeraterne
common_voice_da_31402144,Jeg kan lave suppen og det skal jeg
common_voice_da_31402148,Der var marked i staden.
common_voice_da_31402150,Det ville træet slet ikke høre.
common_voice_da_31402152,De kunde vente længe
common_voice_da_31402153,Og de holdt så overordentlig af mig
common_voice_da_31402154,"Ind i vagten, her er punch"
common_voice_da_31402162,Hun skulle overtage klagers arbejde.
common_voice_da_31402163,"Flammen bævede på hans bryst, bævede i hans hjerte"
common_voice_da_31402164,"– nej, endnu er det åndens hjem, drivhuset for den sygnende plante!"
common_voice_da_31402165,sagde den gamle jomfru.
common_voice_da_31402166,"Frøkornet fra denne time vil, gennem åringer, vokse til et blomstrende digterværk"
common_voice_da_31402299,Men derinde er dog folk oppe
common_voice_da_31402300,"Hendes fader var en fattig, brav mand."
common_voice_da_31402302,"Der var engang en lille dreng, der var forkølet."
common_voice_da_31402303,Der har du slået min bedstemoder ihjel
common_voice_da_31402665,det var ligesom en Violin!
common_voice_da_31402666,Hun hytter sig nok
common_voice_da_31402667,"jeg lod det høre min Røst, hvad en Storm har at sige."
common_voice_da_31402668,"Den blev nu vasket og skyllet, den kunne trænge til det."
common_voice_da_31402669,"Men da traf det en lille Flamme, et Fyrtøi."
common_voice_da_31402674,"hans tanker var stemte, ligesom til altergang."
common_voice_da_31402675,Og så friede han endelig
common_voice_da_31402677,Det er i grunden en nedrig verden
common_voice_da_31402678,Er dine tanker endnu til mig? - Ja evig og altid!
common_voice_da_31402694,"sagde moderen, og så fnisede de igen, men det var af forlegenhed."
common_voice_da_31402695,"Ja, det må du forstå!"
common_voice_da_31402696,"og gennem luften kom flyvende, sydfra, de to første storke."
common_voice_da_31402697,En Amme gaaer i Søndagsklæder
common_voice_da_31402698,Sandheden holdt verden sammen.
common_voice_da_31402709,"Da var det, jeg fødte min velsignede dreng, som her sover"
common_voice_da_31402710,Hvor det klæder hende at række tungen ud
common_voice_da_31402711,Og hvad sagde den?
common_voice_da_31402713,Endelig knagede det ene æg efter det andet.
common_voice_da_31402714,Det var i stuen at disse børn levede og tumlede sig.
common_voice_da_31402715,"Før han blev færdig, gik solen ned"
